group,date,monthly_return
Hi_10,200704,3.34
Hi_10,200705,3.31
Hi_10,200706,2.52
Hi_10,200707,-6.37
Hi_10,200708,-1.86
Hi_10,200709,3.7
Hi_10,200710,-2.16
Hi_10,200711,-6.84
Hi_10,200712,1.28
Hi_10,200801,-7.26
Hi_10,200802,-6.92
Hi_10,200803,3.7
Hi_10,200804,3.68
Hi_10,200805,3.12
Hi_10,200806,-12.8
Hi_10,200807,1.63
Hi_10,200808,6.23
Hi_10,200809,-9.49
Hi_10,200810,-23.74
Hi_10,200811,-16.78
Hi_10,200812,4
Hi_10,200901,-22.83
Hi_10,200902,-16.53
Hi_10,200903,14.45
Hi_10,200904,24.91
Hi_10,200905,6.3
Hi_10,200906,-1.47
Hi_10,200907,10.74
Hi_10,200908,18.15
Hi_10,200909,2.26
Hi_10,200910,-12.25
Hi_10,200911,6.05
Hi_10,200912,1.64
Hi_10,201001,-0.81
Hi_10,201002,8.78
Hi_10,201003,10.34
Hi_10,201004,4.98
Hi_10,201005,-9.94
Hi_10,201006,-11.74
Hi_10,201007,4.75
Hi_10,201008,-10.23
Hi_10,201009,8.17
Hi_10,201010,-1.61
Hi_10,201011,-1.54
Hi_10,201012,15.82
Hi_10,201101,2.32
Hi_10,201102,2.38
Hi_10,201103,-2.68
Hi_10,201104,-0.29
Hi_10,201105,-4.22
Hi_10,201106,-3.35
Hi_10,201107,-6.65
Hi_10,201108,-13.16
Hi_10,201109,-15.28
Hi_10,201110,15.52
Hi_10,201111,-7.09
Hi_10,201112,-1.5
Hi_10,201201,11.29
Hi_10,201202,7.49
Hi_10,201203,7.27
Hi_10,201204,-6.02
Hi_10,201205,-11.25
Hi_10,201206,6.45
Hi_10,201207,-1.33
Hi_10,201208,6.65
Hi_10,201209,5.81
Hi_10,201210,4.19
Hi_10,201211,-1.52
Hi_10,201212,7.44
Hi_10,201301,7.66
Hi_10,201302,0.82
Hi_10,201303,3.55
Hi_10,201304,2.33
Hi_10,201305,9.34
Hi_10,201306,-2.39
Hi_10,201307,7.9
Hi_10,201308,-4.01
Hi_10,201309,2.7
Hi_10,201310,3.39
Hi_10,201311,7.01
Hi_10,201312,1.38
Hi_10,201401,-3.71
Hi_10,201402,2.81
Hi_10,201403,2.74
Hi_10,201404,-2.7
Hi_10,201405,0.81
Hi_10,201406,3.82
Hi_10,201407,-2.69
Hi_10,201408,4.73
Hi_10,201409,-1.07
Hi_10,201410,0.8
Hi_10,201411,-0.24
Hi_10,201412,2.19
Hi_10,201501,-10.62
Hi_10,201502,7.6
Hi_10,201503,-0.9
